modelNumber,domain,scenarioNumber,waterDepth,waveHeight,wavePeriod,rampTime,runTime,purgeWrite,waveSteepness,Gamma,waveTheory
114,highRelief,44,3,2,16,32,192,1280,0.023,0.67,cnoidal
115,highRelief,45,3,2,20,40,240,1600,0.019,0.67,cnoidal
116,highRelief,46,4,0.4,4,8,48,320,0.019,0.1,StokesII
117,highRelief,47,4,0.4,8,16,96,640,0.008,0.1,cnoidal
118,highRelief,48,4,0.4,12,24,144,960,0.005,0.1,cnoidal
119,highRelief,49,4,0.4,16,32,192,1280,0.004,0.1,cnoidal
120,highRelief,50,4,0.4,20,40,240,1600,0.003,0.1,cnoidal
121,highRelief,51,4,0.8,4,8,48,320,0.038,0.2,StokesII
122,highRelief,52,4,0.8,8,16,96,640,0.017,0.2,StokesV
123,highRelief,53,4,0.8,12,24,144,960,0.011,0.2,cnoidal
124,highRelief,54,4,0.8,16,32,192,1280,0.008,0.2,StokesV
125,highRelief,55,4,0.8,20,40,240,1600,0.006,0.2,cnoidal
126,highRelief,56,4,1.2,4,8,48,320,0.058,0.3,StokesV
127,highRelief,57,4,1.2,8,16,96,640,0.025,0.3,StokesV
128,highRelief,58,4,1.2,12,24,144,960,0.016,0.3,StokesV
129,highRelief,59,4,1.2,16,32,192,1280,0.012,0.3,StokesV
130,highRelief,60,4,1.2,20,40,240,1600,0.01,0.3,StokesV
131,highRelief,61,4,1.6,4,8,48,320,0.077,0.4,StokesV
132,highRelief,62,4,1.6,8,16,96,640,0.033,0.4,StokesV
133,highRelief,63,4,1.6,12,24,144,960,0.022,0.4,cnoidal
134,highRelief,64,4,1.6,16,32,192,1280,0.016,0.4,cnoidal
135,highRelief,65,4,1.6,20,40,240,1600,0.013,0.4,StokesV
136,highRelief,66,4,2,4,8,48,320,0.096,0.5,StokesV
137,highRelief,67,4,2,8,16,96,640,0.042,0.5,StokesV
138,highRelief,68,4,2,12,24,144,960,0.027,0.5,cnoidal
139,highRelief,69,4,2,16,32,192,1280,0.02,0.5,cnoidal
140,highRelief,70,4,2,20,40,240,1600,0.016,0.5,cnoidal
